Time (seconds),CO2 (ppm),Temperature (C),Pressure (Pa),Humidity (%)
10,422,20.57,100894.74,55.59
20,427,20.54,100897.58,55.83
30,432,20.48,100889.77,56.03
40,439,20.49,100887.64,55.97
50,448,20.54,100889.50,55.87
60,455,20.42,100891.11,56.09
70,462,20.44,100887.92,56.19
80,470,20.29,100891.35,56.70
90,469,20.25,100895.46,56.84
100,473,20.32,100890.89,56.54
110,475,20.21,100891.28,56.76
120,480,20.26,100893.19,56.67
130,486,20.19,100892.88,56.89
140,496,20.27,100892.22,56.45
150,502,20.19,100891.28,56.93
160,509,20.07,100894.33,57.35
170,514,20.12,100892.03,57.29
180,514,19.97,100889.21,57.68
190,520,19.95,100886.50,57.75
200,518,19.85,100890.25,58.01
210,526,19.89,100889.96,58.01
220,516,19.89,100888.44,57.88
230,526,19.88,100889.91,58.01
240,520,19.77,100887.43,58.26
250,515,19.74,100889.55,58.44
260,514,19.81,100892.69,58.05
270,515,19.91,100889.86,57.60
280,526,19.84,100891.98,57.82
290,531,19.91,100890.61,57.74
300,543,19.87,100890.17,57.97
310,546,19.88,100891.24,57.96
320,544,19.85,100887.82,58.18
330,542,19.80,100888.82,58.31
340,543,19.71,100886.10,58.67
350,547,19.73,100890.50,58.62
360,538,19.70,100887.69,58.65
370,534,19.64,100894.67,58.85
380,533,19.64,100892.07,58.72
390,522,19.74,100892.08,58.18
400,514,19.71,100892.25,58.65
410,516,19.72,100892.31,58.29
420,526,19.72,100891.24,58.49
430,531,19.62,100893.07,58.88
440,522,19.64,100893.57,58.43
450,525,19.73,100891.82,58.11
460,535,19.79,100889.49,58.02
470,548,19.77,100886.74,58.08
480,550,19.72,100888.14,58.38
490,554,19.70,100887.95,58.46
500,567,19.69,100895.61,58.45
510,574,19.76,100875.29,58.02
520,567,19.86,100890.39,57.62
530,566,19.70,100889.59,58.35
540,565,19.70,100893.49,58.18
550,567,19.76,100888.82,57.96
560,572,19.78,100888.90,58.08
570,574,19.80,100889.44,58.02
580,571,19.80,100892.33,58.20
590,572,19.76,100890.32,58.11
600,567,19.81,100886.88,57.91
610,569,19.85,100886.80,57.76
620,576,19.84,100888.57,58.03
630,578,19.79,100893.65,58.30
640,577,19.76,100891.83,58.20
650,571,19.73,100894.83,58.52
660,560,19.63,100892.50,58.88
670,548,19.58,100890.94,59.05
680,552,19.51,100890.61,59.23
690,550,19.58,100888.19,58.61
700,547,19.42,100890.89,59.39
710,535,19.49,100892.07,59.01
720,533,19.57,100888.06,58.61
730,536,19.57,100888.89,58.87
740,538,19.66,100892.32,58.29
750,538,19.67,100894.02,58.46
760,541,19.67,100894.46,58.65
770,549,19.63,100893.47,58.96
780,549,19.57,100891.91,58.93
790,551,19.63,100894.72,58.49
800,550,19.66,100894.10,58.56
810,553,19.66,100887.53,58.44
820,549,19.65,100894.67,58.68
830,546,19.66,100886.12,58.69
840,545,19.61,100888.50,58.67
850,540,19.68,100892.07,58.22
860,539,19.67,100895.13,58.66
870,537,19.59,100889.85,58.73
880,537,19.58,100888.95,58.87
890,543,19.65,100890.64,58.56
900,536,19.71,100891.10,58.24
910,543,19.63,100888.42,58.61
920,543,19.65,100889.53,58.57
930,545,19.63,100884.75,58.52
940,544,19.67,100890.69,58.24
950,546,19.72,100886.14,58.04
960,545,19.75,100886.02,57.99
970,547,19.75,100888.19,58.14
980,547,19.67,100887.19,58.67
990,541,19.60,100887.63,58.87
1000,537,19.61,100886.14,58.85
1010,536,19.57,100889.38,59.07
1020,527,19.50,100886.39,59.37
1030,523,19.45,100884.64,59.57
1040,522,19.36,100885.01,59.81
1050,512,19.43,100886.55,59.29
1060,512,19.38,100884.27,59.72
1070,510,19.35,100884.42,59.88
1080,502,19.32,100884.19,60.11
1090,509,19.29,100883.52,60.13
1100,508,19.26,100882.92,60.27
1110,504,19.28,100882.85,60.13
1120,513,19.31,100881.22,59.91
1130,516,19.35,100885.31,59.80
1140,532,19.41,100883.57,59.64
1150,545,19.46,100883.86,59.46
1160,562,19.50,100884.40,59.39
1170,589,19.53,100882.10,59.32
1180,604,19.57,100885.04,59.29
1190,619,19.61,100884.15,59.13
1200,629,19.64,100880.54,58.99
1210,636,19.67,100884.85,58.88
1220,637,19.71,100882.06,58.90
1230,641,19.74,100884.06,58.75
1240,639,19.77,100883.89,58.68
1250,637,19.79,100884.78,58.67
